vectorization_text,person,code
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"panicked, elderly, male, working class",Headache syndromes
my friend got a chemical burn in chem lab should we go to er,"slangy, elderly, non-binary, college student",Headache syndromes
i spilled coffee on myself and my skin looks like it s bubbling ouch,"slangy, child, female, non-native English speaker",Headache syndromes
was cooking and oil popped on my chest what s the best ointment,"slangy, teen, female, affluent",Headache syndromes
steamed face too long skin feels raw is that a burn,"neutral, young adult, non-binary, urban",Headache syndromes
hot iron slipped and burned my thigh blister s big,"calm, elderly, male, urban",Headache syndromes
i fell asleep in the sun and now my whole back is bright red what now,"slangy, teen, female, college student",Headache syndromes
burned my fingers lighting a firecracker they re swollen and hurt,"neutral, elderly, female, working class",Headache syndromes
used a hair removal cream and now skin is irritated and burning is that normal,"panicked, middle-aged, female, rural",Headache syndromes
hot tea spilled over my foot should i cover the wound,"slangy, elderly, male, working class",Headache syndromes
accidentally leaned on a hot car hood got a red patch advice,"informal, elderly, male, affluent",Headache syndromes
burned tongue on hot soup what helps with that,"slangy, child, non-binary, non-native English speaker",Headache syndromes
fireplace accident arm got singed burns are painful,"panicked, teen, female, affluent",Headache syndromes
my toddler touched the stove skin s red what to apply,"neutral, child, non-binary, affluent",Headache syndromes
oven burn blister formed can i pop it,"panicked, middle-aged, male, college student",Headache syndromes
used a heat pack and now skin is discolored is that a burn,"neutral, young adult, non-binary, immigrant",Headache syndromes
i have a burn from wax strip what cream works best,"neutral, elderly, male, working class",Headache syndromes
i grabbed a hot pot handle fingers are throbbing,"neutral, child, male, urban",Headache syndromes
steam from rice cooker burned my wrist should i wrap it,"calm, elderly, male, immigrant",Headache syndromes
had a bbq got too close to the flame now i ve got a bad burn on my leg,"slangy, elderly, male, working class",Headache syndromes
used hot water bottle woke up with red itchy skin,"panicked, elderly, non-binary, immigrant",Headache syndromes
didn t realize how strong the sun was on the boat bad sunburn now,"informal, middle-aged, non-binary, affluent",Headache syndromes
microwaved something too long it exploded on me skin is sore,"calm, child, female, working class",Headache syndromes
hot glue gun accident fingers burned help,"professional, teen, male, affluent",Headache syndromes
messed up while soldering and burned my palm,"informal, child, non-binary, affluent",Headache syndromes
got frostbite then exposed to heat it burns is that normal,"neutral, middle-aged, male, immigrant",Headache syndromes
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"professional, young adult, male, rural",Respiratory diseases
my kid touched a hot pan skin looks bad need help fast,"informal, young adult, female, urban",Respiratory diseases
got a nasty sunburn after hiking yesterday skin peeling now,"informal, young adult, non-binary, working class",Respiratory diseases
touched exhaust pipe now my leg s got a second degree burn hurts bad,"panicked, middle-aged, non-binary, non-native English speaker",Respiratory diseases
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"panicked, child, female, non-native English speaker",Respiratory diseases
my friend got a chemical burn in chem lab should we go to er,"slangy, middle-aged, female, affluent",Respiratory diseases
i spilled coffee on myself and my skin looks like it s bubbling ouch,"formal, elderly, female, urban",Respiratory diseases
was cooking and oil popped on my chest what s the best ointment,"neutral, elderly, female, immigrant",Respiratory diseases
steamed face too long skin feels raw is that a burn,"panicked, elderly, non-binary, working class",Respiratory diseases
hot iron slipped and burned my thigh blister s big,"formal, young adult, non-binary, immigrant",Respiratory diseases
i fell asleep in the sun and now my whole back is bright red what now,"formal, teen, male, immigrant",Respiratory diseases
burned my fingers lighting a firecracker they re swollen and hurt,"calm, teen, male, college student",Respiratory diseases
used a hair removal cream and now skin is irritated and burning is that normal,"panicked, teen, non-binary, urban",Respiratory diseases
hot tea spilled over my foot should i cover the wound,"slangy, teen, female, affluent",Respiratory diseases
accidentally leaned on a hot car hood got a red patch advice,"calm, elderly, female, rural",Respiratory diseases
burned tongue on hot soup what helps with that,"panicked, young adult, non-binary, urban",Respiratory diseases
fireplace accident arm got singed burns are painful,"neutral, young adult, female, rural",Respiratory diseases
my toddler touched the stove skin s red what to apply,"calm, middle-aged, female, non-native English speaker",Respiratory diseases
oven burn blister formed can i pop it,"panicked, elderly, non-binary, rural",Respiratory diseases
used a heat pack and now skin is discolored is that a burn,"informal, teen, female, college student",Respiratory diseases
i have a burn from wax strip what cream works best,"informal, teen, male, affluent",Respiratory diseases
i grabbed a hot pot handle fingers are throbbing,"slangy, elderly, female, rural",Respiratory diseases
steam from rice cooker burned my wrist should i wrap it,"calm, child, female, rural",Respiratory diseases
had a bbq got too close to the flame now i ve got a bad burn on my leg,"formal, teen, male, rural",Respiratory diseases
used hot water bottle woke up with red itchy skin,"calm, middle-aged, female, college student",Respiratory diseases
didn t realize how strong the sun was on the boat bad sunburn now,"slangy, elderly, male, urban",Respiratory diseases
microwaved something too long it exploded on me skin is sore,"calm, child, non-binary, urban",Respiratory diseases
hot glue gun accident fingers burned help,"slangy, teen, female, non-native English speaker",Respiratory diseases
messed up while soldering and burned my palm,"informal, teen, female, working class",Respiratory diseases
got frostbite then exposed to heat it burns is that normal,"slangy, teen, male, college student",Respiratory diseases
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"formal, teen, male, immigrant",Sprains
my kid touched a hot pan skin looks bad need help fast,"calm, young adult, male, working class",Sprains
got a nasty sunburn after hiking yesterday skin peeling now,"panicked, young adult, male, working class",Sprains
touched exhaust pipe now my leg s got a second degree burn hurts bad,"neutral, young adult, non-binary, affluent",Sprains
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"professional, teen, male, affluent",Sprains
my friend got a chemical burn in chem lab should we go to er,"calm, elderly, male, affluent",Sprains
i spilled coffee on myself and my skin looks like it s bubbling ouch,"slangy, young adult, male, working class",Sprains
was cooking and oil popped on my chest what s the best ointment,"slangy, child, female, working class",Sprains
steamed face too long skin feels raw is that a burn,"slangy, young adult, female, rural",Sprains
hot iron slipped and burned my thigh blister s big,"professional, teen, female, working class",Sprains
i fell asleep in the sun and now my whole back is bright red what now,"calm, child, male, affluent",Sprains
burned my fingers lighting a firecracker they re swollen and hurt,"formal, child, male, college student",Sprains
used a hair removal cream and now skin is irritated and burning is that normal,"informal, middle-aged, female, rural",Sprains
hot tea spilled over my foot should i cover the wound,"professional, young adult, male, urban",Sprains
accidentally leaned on a hot car hood got a red patch advice,"calm, elderly, male, immigrant",Sprains
burned tongue on hot soup what helps with that,"panicked, child, female, college student",Sprains
fireplace accident arm got singed burns are painful,"formal, teen, non-binary, college student",Sprains
my toddler touched the stove skin s red what to apply,"slangy, teen, male, rural",Sprains
oven burn blister formed can i pop it,"panicked, elderly, female, urban",Sprains
used a heat pack and now skin is discolored is that a burn,"professional, teen, female, immigrant",Sprains
i have a burn from wax strip what cream works best,"professional, child, female, college student",Sprains
i grabbed a hot pot handle fingers are throbbing,"calm, elderly, male, rural",Sprains
steam from rice cooker burned my wrist should i wrap it,"informal, child, non-binary, college student",Sprains
had a bbq got too close to the flame now i ve got a bad burn on my leg,"professional, elderly, non-binary, urban",Sprains
used hot water bottle woke up with red itchy skin,"informal, elderly, female, immigrant",Sprains
didn t realize how strong the sun was on the boat bad sunburn now,"neutral, teen, male, rural",Sprains
microwaved something too long it exploded on me skin is sore,"panicked, teen, female, affluent",Sprains
hot glue gun accident fingers burned help,"informal, elderly, female, college student",Sprains
messed up while soldering and burned my palm,"neutral, child, female, college student",Sprains
got frostbite then exposed to heat it burns is that normal,"formal, child, male, rural",Sprains
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"informal, elderly, non-binary, affluent",Digestive diseases
my kid touched a hot pan skin looks bad need help fast,"formal, young adult, female, non-native English speaker",Digestive diseases
got a nasty sunburn after hiking yesterday skin peeling now,"formal, young adult, male, immigrant",Digestive diseases
touched exhaust pipe now my leg s got a second degree burn hurts bad,"panicked, young adult, female, immigrant",Digestive diseases
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"slangy, child, non-binary, working class",Digestive diseases
my friend got a chemical burn in chem lab should we go to er,"professional, middle-aged, female, working class",Digestive diseases
i spilled coffee on myself and my skin looks like it s bubbling ouch,"neutral, child, non-binary, non-native English speaker",Digestive diseases
was cooking and oil popped on my chest what s the best ointment,"informal, child, female, college student",Digestive diseases
steamed face too long skin feels raw is that a burn,"slangy, middle-aged, non-binary, non-native English speaker",Digestive diseases
hot iron slipped and burned my thigh blister s big,"informal, middle-aged, male, college student",Digestive diseases
i fell asleep in the sun and now my whole back is bright red what now,"informal, teen, female, college student",Digestive diseases
burned my fingers lighting a firecracker they re swollen and hurt,"calm, teen, non-binary, college student",Digestive diseases
used a hair removal cream and now skin is irritated and burning is that normal,"calm, young adult, male, affluent",Digestive diseases
hot tea spilled over my foot should i cover the wound,"professional, middle-aged, male, urban",Digestive diseases
accidentally leaned on a hot car hood got a red patch advice,"panicked, teen, female, non-native English speaker",Digestive diseases
burned tongue on hot soup what helps with that,"slangy, child, male, affluent",Digestive diseases
fireplace accident arm got singed burns are painful,"slangy, middle-aged, non-binary, working class",Digestive diseases
my toddler touched the stove skin s red what to apply,"slangy, teen, non-binary, affluent",Digestive diseases
oven burn blister formed can i pop it,"informal, teen, male, rural",Digestive diseases
used a heat pack and now skin is discolored is that a burn,"panicked, young adult, male, immigrant",Digestive diseases
i have a burn from wax strip what cream works best,"slangy, middle-aged, female, non-native English speaker",Digestive diseases
i grabbed a hot pot handle fingers are throbbing,"neutral, young adult, female, immigrant",Digestive diseases
steam from rice cooker burned my wrist should i wrap it,"professional, middle-aged, non-binary, working class",Digestive diseases
had a bbq got too close to the flame now i ve got a bad burn on my leg,"panicked, teen, non-binary, rural",Digestive diseases
used hot water bottle woke up with red itchy skin,"informal, child, male, affluent",Digestive diseases
didn t realize how strong the sun was on the boat bad sunburn now,"calm, elderly, male, working class",Digestive diseases
microwaved something too long it exploded on me skin is sore,"calm, middle-aged, male, working class",Digestive diseases
hot glue gun accident fingers burned help,"neutral, elderly, non-binary, affluent",Digestive diseases
messed up while soldering and burned my palm,"professional, young adult, male, rural",Digestive diseases
got frostbite then exposed to heat it burns is that normal,"slangy, child, male, immigrant",Digestive diseases
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"slangy, elderly, male, non-native English speaker",Dermatitis
my kid touched a hot pan skin looks bad need help fast,"neutral, middle-aged, non-binary, rural",Dermatitis
got a nasty sunburn after hiking yesterday skin peeling now,"professional, teen, female, urban",Dermatitis
touched exhaust pipe now my leg s got a second degree burn hurts bad,"panicked, child, non-binary, affluent",Dermatitis
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"panicked, young adult, female, affluent",Dermatitis
my friend got a chemical burn in chem lab should we go to er,"formal, middle-aged, female, affluent",Dermatitis
i spilled coffee on myself and my skin looks like it s bubbling ouch,"slangy, teen, female, non-native English speaker",Dermatitis
was cooking and oil popped on my chest what s the best ointment,"professional, middle-aged, female, working class",Dermatitis
steamed face too long skin feels raw is that a burn,"neutral, teen, male, affluent",Dermatitis
hot iron slipped and burned my thigh blister s big,"neutral, teen, non-binary, immigrant",Dermatitis
i fell asleep in the sun and now my whole back is bright red what now,"professional, child, male, college student",Dermatitis
burned my fingers lighting a firecracker they re swollen and hurt,"informal, young adult, female, affluent",Dermatitis
used a hair removal cream and now skin is irritated and burning is that normal,"slangy, middle-aged, non-binary, rural",Dermatitis
hot tea spilled over my foot should i cover the wound,"calm, child, female, immigrant",Dermatitis
accidentally leaned on a hot car hood got a red patch advice,"slangy, elderly, female, college student",Dermatitis
burned tongue on hot soup what helps with that,"slangy, middle-aged, male, working class",Dermatitis
fireplace accident arm got singed burns are painful,"panicked, middle-aged, non-binary, urban",Dermatitis
my toddler touched the stove skin s red what to apply,"slangy, young adult, non-binary, non-native English speaker",Dermatitis
oven burn blister formed can i pop it,"neutral, young adult, female, non-native English speaker",Dermatitis
used a heat pack and now skin is discolored is that a burn,"panicked, elderly, female, college student",Dermatitis
i have a burn from wax strip what cream works best,"panicked, young adult, male, college student",Dermatitis
i grabbed a hot pot handle fingers are throbbing,"neutral, young adult, female, affluent",Dermatitis
steam from rice cooker burned my wrist should i wrap it,"informal, child, non-binary, college student",Dermatitis
had a bbq got too close to the flame now i ve got a bad burn on my leg,"informal, middle-aged, female, affluent",Dermatitis
used hot water bottle woke up with red itchy skin,"neutral, young adult, female, urban",Dermatitis
didn t realize how strong the sun was on the boat bad sunburn now,"neutral, teen, male, college student",Dermatitis
microwaved something too long it exploded on me skin is sore,"panicked, elderly, female, urban",Dermatitis
hot glue gun accident fingers burned help,"slangy, young adult, non-binary, college student",Dermatitis
messed up while soldering and burned my palm,"calm, young adult, female, college student",Dermatitis
got frostbite then exposed to heat it burns is that normal,"formal, child, non-binary, affluent",Dermatitis
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"panicked, elderly, female, immigrant",Open wounds
my kid touched a hot pan skin looks bad need help fast,"neutral, young adult, female, immigrant",Open wounds
got a nasty sunburn after hiking yesterday skin peeling now,"panicked, teen, male, rural",Open wounds
touched exhaust pipe now my leg s got a second degree burn hurts bad,"neutral, teen, non-binary, urban",Open wounds
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"calm, elderly, non-binary, rural",Open wounds
my friend got a chemical burn in chem lab should we go to er,"professional, middle-aged, male, working class",Open wounds
i spilled coffee on myself and my skin looks like it s bubbling ouch,"calm, middle-aged, female, urban",Open wounds
was cooking and oil popped on my chest what s the best ointment,"slangy, elderly, male, working class",Open wounds
steamed face too long skin feels raw is that a burn,"formal, middle-aged, male, college student",Open wounds
hot iron slipped and burned my thigh blister s big,"formal, teen, non-binary, working class",Open wounds
i fell asleep in the sun and now my whole back is bright red what now,"panicked, elderly, male, immigrant",Open wounds
burned my fingers lighting a firecracker they re swollen and hurt,"informal, child, male, rural",Open wounds
used a hair removal cream and now skin is irritated and burning is that normal,"slangy, child, male, immigrant",Open wounds
hot tea spilled over my foot should i cover the wound,"neutral, child, male, affluent",Open wounds
accidentally leaned on a hot car hood got a red patch advice,"calm, child, non-binary, affluent",Open wounds
burned tongue on hot soup what helps with that,"slangy, child, non-binary, working class",Open wounds
fireplace accident arm got singed burns are painful,"panicked, middle-aged, female, non-native English speaker",Open wounds
my toddler touched the stove skin s red what to apply,"panicked, elderly, female, working class",Open wounds
oven burn blister formed can i pop it,"informal, young adult, non-binary, affluent",Open wounds
used a heat pack and now skin is discolored is that a burn,"slangy, young adult, female, non-native English speaker",Open wounds
i have a burn from wax strip what cream works best,"panicked, teen, female, rural",Open wounds
i grabbed a hot pot handle fingers are throbbing,"panicked, elderly, non-binary, non-native English speaker",Open wounds
steam from rice cooker burned my wrist should i wrap it,"neutral, child, male, rural",Open wounds
had a bbq got too close to the flame now i ve got a bad burn on my leg,"formal, young adult, female, urban",Open wounds
used hot water bottle woke up with red itchy skin,"calm, young adult, male, urban",Open wounds
didn t realize how strong the sun was on the boat bad sunburn now,"slangy, middle-aged, female, college student",Open wounds
microwaved something too long it exploded on me skin is sore,"neutral, teen, male, non-native English speaker",Open wounds
hot glue gun accident fingers burned help,"calm, elderly, female, affluent",Open wounds
messed up while soldering and burned my palm,"informal, teen, male, college student",Open wounds
got frostbite then exposed to heat it burns is that normal,"formal, teen, non-binary, affluent",Open wounds
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"formal, young adult, non-binary, urban",Anxiety disorders
my kid touched a hot pan skin looks bad need help fast,"professional, elderly, female, rural",Anxiety disorders
got a nasty sunburn after hiking yesterday skin peeling now,"calm, young adult, female, college student",Anxiety disorders
touched exhaust pipe now my leg s got a second degree burn hurts bad,"calm, elderly, female, rural",Anxiety disorders
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"informal, young adult, male, college student",Anxiety disorders
my friend got a chemical burn in chem lab should we go to er,"informal, child, female, college student",Anxiety disorders
i spilled coffee on myself and my skin looks like it s bubbling ouch,"panicked, elderly, male, college student",Anxiety disorders
was cooking and oil popped on my chest what s the best ointment,"informal, young adult, non-binary, immigrant",Anxiety disorders
steamed face too long skin feels raw is that a burn,"informal, child, non-binary, affluent",Anxiety disorders
hot iron slipped and burned my thigh blister s big,"professional, child, male, affluent",Anxiety disorders
i fell asleep in the sun and now my whole back is bright red what now,"informal, teen, female, rural",Anxiety disorders
burned my fingers lighting a firecracker they re swollen and hurt,"formal, elderly, female, working class",Anxiety disorders
used a hair removal cream and now skin is irritated and burning is that normal,"neutral, child, male, immigrant",Anxiety disorders
hot tea spilled over my foot should i cover the wound,"professional, young adult, non-binary, urban",Anxiety disorders
accidentally leaned on a hot car hood got a red patch advice,"formal, young adult, female, immigrant",Anxiety disorders
burned tongue on hot soup what helps with that,"slangy, middle-aged, female, working class",Anxiety disorders
fireplace accident arm got singed burns are painful,"calm, young adult, female, urban",Anxiety disorders
my toddler touched the stove skin s red what to apply,"calm, elderly, male, immigrant",Anxiety disorders
oven burn blister formed can i pop it,"professional, young adult, female, affluent",Anxiety disorders
used a heat pack and now skin is discolored is that a burn,"professional, teen, male, affluent",Anxiety disorders
i have a burn from wax strip what cream works best,"informal, young adult, non-binary, immigrant",Anxiety disorders
i grabbed a hot pot handle fingers are throbbing,"informal, elderly, non-binary, working class",Anxiety disorders
steam from rice cooker burned my wrist should i wrap it,"neutral, middle-aged, female, working class",Anxiety disorders
had a bbq got too close to the flame now i ve got a bad burn on my leg,"formal, middle-aged, male, working class",Anxiety disorders
used hot water bottle woke up with red itchy skin,"panicked, middle-aged, non-binary, non-native English speaker",Anxiety disorders
didn t realize how strong the sun was on the boat bad sunburn now,"informal, elderly, male, immigrant",Anxiety disorders
microwaved something too long it exploded on me skin is sore,"neutral, teen, female, college student",Anxiety disorders
hot glue gun accident fingers burned help,"neutral, elderly, non-binary, college student",Anxiety disorders
messed up while soldering and burned my palm,"slangy, elderly, male, college student",Anxiety disorders
got frostbite then exposed to heat it burns is that normal,"professional, middle-aged, female, working class",Anxiety disorders
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"formal, middle-aged, non-binary, college student",Dorsalgia
my kid touched a hot pan skin looks bad need help fast,"formal, child, male, urban",Dorsalgia
got a nasty sunburn after hiking yesterday skin peeling now,"slangy, child, female, rural",Dorsalgia
touched exhaust pipe now my leg s got a second degree burn hurts bad,"professional, middle-aged, non-binary, immigrant",Dorsalgia
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"slangy, child, non-binary, college student",Dorsalgia
my friend got a chemical burn in chem lab should we go to er,"calm, child, non-binary, rural",Dorsalgia
i spilled coffee on myself and my skin looks like it s bubbling ouch,"panicked, elderly, non-binary, urban",Dorsalgia
was cooking and oil popped on my chest what s the best ointment,"calm, teen, male, college student",Dorsalgia
steamed face too long skin feels raw is that a burn,"calm, young adult, female, immigrant",Dorsalgia
hot iron slipped and burned my thigh blister s big,"slangy, middle-aged, male, college student",Dorsalgia
i fell asleep in the sun and now my whole back is bright red what now,"slangy, child, female, immigrant",Dorsalgia
burned my fingers lighting a firecracker they re swollen and hurt,"formal, middle-aged, male, working class",Dorsalgia
used a hair removal cream and now skin is irritated and burning is that normal,"informal, elderly, male, urban",Dorsalgia
hot tea spilled over my foot should i cover the wound,"slangy, elderly, male, immigrant",Dorsalgia
accidentally leaned on a hot car hood got a red patch advice,"professional, child, non-binary, college student",Dorsalgia
burned tongue on hot soup what helps with that,"panicked, young adult, non-binary, affluent",Dorsalgia
fireplace accident arm got singed burns are painful,"professional, elderly, male, urban",Dorsalgia
my toddler touched the stove skin s red what to apply,"panicked, elderly, male, affluent",Dorsalgia
oven burn blister formed can i pop it,"neutral, middle-aged, female, non-native English speaker",Dorsalgia
used a heat pack and now skin is discolored is that a burn,"neutral, elderly, male, non-native English speaker",Dorsalgia
i have a burn from wax strip what cream works best,"formal, young adult, non-binary, rural",Dorsalgia
i grabbed a hot pot handle fingers are throbbing,"slangy, elderly, female, immigrant",Dorsalgia
steam from rice cooker burned my wrist should i wrap it,"informal, elderly, male, immigrant",Dorsalgia
had a bbq got too close to the flame now i ve got a bad burn on my leg,"informal, teen, non-binary, affluent",Dorsalgia
used hot water bottle woke up with red itchy skin,"informal, elderly, female, affluent",Dorsalgia
didn t realize how strong the sun was on the boat bad sunburn now,"informal, teen, female, non-native English speaker",Dorsalgia
microwaved something too long it exploded on me skin is sore,"panicked, child, non-binary, affluent",Dorsalgia
hot glue gun accident fingers burned help,"formal, middle-aged, non-binary, working class",Dorsalgia
messed up while soldering and burned my palm,"professional, child, female, affluent",Dorsalgia
got frostbite then exposed to heat it burns is that normal,"professional, middle-aged, non-binary, urban",Dorsalgia
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"calm, teen, female, working class",Infectious diseases
my kid touched a hot pan skin looks bad need help fast,"professional, middle-aged, female, non-native English speaker",Infectious diseases
got a nasty sunburn after hiking yesterday skin peeling now,"informal, teen, male, working class",Infectious diseases
touched exhaust pipe now my leg s got a second degree burn hurts bad,"neutral, young adult, non-binary, college student",Infectious diseases
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"panicked, child, male, immigrant",Infectious diseases
my friend got a chemical burn in chem lab should we go to er,"panicked, child, female, immigrant",Infectious diseases
i spilled coffee on myself and my skin looks like it s bubbling ouch,"slangy, child, male, college student",Infectious diseases
was cooking and oil popped on my chest what s the best ointment,"professional, young adult, female, college student",Infectious diseases
steamed face too long skin feels raw is that a burn,"neutral, young adult, female, non-native English speaker",Infectious diseases
hot iron slipped and burned my thigh blister s big,"formal, child, male, urban",Infectious diseases
i fell asleep in the sun and now my whole back is bright red what now,"panicked, young adult, male, college student",Infectious diseases
burned my fingers lighting a firecracker they re swollen and hurt,"panicked, young adult, female, urban",Infectious diseases
used a hair removal cream and now skin is irritated and burning is that normal,"slangy, middle-aged, non-binary, working class",Infectious diseases
hot tea spilled over my foot should i cover the wound,"slangy, middle-aged, male, urban",Infectious diseases
accidentally leaned on a hot car hood got a red patch advice,"slangy, middle-aged, male, urban",Infectious diseases
burned tongue on hot soup what helps with that,"slangy, elderly, male, affluent",Infectious diseases
fireplace accident arm got singed burns are painful,"slangy, young adult, non-binary, college student",Infectious diseases
my toddler touched the stove skin s red what to apply,"formal, young adult, male, affluent",Infectious diseases
oven burn blister formed can i pop it,"neutral, middle-aged, non-binary, non-native English speaker",Infectious diseases
used a heat pack and now skin is discolored is that a burn,"slangy, young adult, non-binary, immigrant",Infectious diseases
i have a burn from wax strip what cream works best,"informal, middle-aged, non-binary, immigrant",Infectious diseases
i grabbed a hot pot handle fingers are throbbing,"calm, young adult, non-binary, affluent",Infectious diseases
steam from rice cooker burned my wrist should i wrap it,"calm, teen, non-binary, non-native English speaker",Infectious diseases
had a bbq got too close to the flame now i ve got a bad burn on my leg,"informal, elderly, female, immigrant",Infectious diseases
used hot water bottle woke up with red itchy skin,"formal, child, non-binary, college student",Infectious diseases
didn t realize how strong the sun was on the boat bad sunburn now,"calm, teen, non-binary, urban",Infectious diseases
microwaved something too long it exploded on me skin is sore,"panicked, middle-aged, male, affluent",Infectious diseases
hot glue gun accident fingers burned help,"slangy, elderly, female, working class",Infectious diseases
messed up while soldering and burned my palm,"panicked, elderly, female, urban",Infectious diseases
got frostbite then exposed to heat it burns is that normal,"professional, young adult, male, immigrant",Infectious diseases
