id,code,title,definition
1342682193,1G01.3,Cutaneous myiasis,"The infestation of the skin or subcutaneous tissues by the larvae of certain flies (Phormia regina, Cordylobia anthropophaga, Cochliomyia hominivorax, C. macellaria, Wohlfahrtia vigil, W. meigeni, W. opaca, Dermatobia hominis, Sarcophaga krameri). characterised by a painful boil-like lesion containing one or more larvae with severe pruritus and local destruction of tissue."
1761012301,1D04.3,Intraspinal subdural granuloma,
1160781209,1E82,Warts of lips or oral cavity,"Infection of the lips and/or oral cavity, particularly the keratinized surfaces of the gingiva and palate, with ""skin"" type human papillomavirus (types 2 and 4). Focal epithelial hyperplasia (Heck disease) is a specific form of oral human papillomavirus infection caused by types 13 or 32 and of high prevalence in certain communities in the Americas."
1373005257,1F66.2,Filariasis due to Brugia species,
344162786,1A03,Intestinal infections due to Escherichia coli,"Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli."
284578658,1B70.1,Streptococcal cellulitis of skin,
155264956,1E82.0,Focal epithelial hyperplasia of oral mucous membranes,"Otherwise known as Heck disease, this is due to infection of the oral mucosa by human papillomavirus types 13 or 32. It most commonly presents as multiple smooth mucosal papules, giving rise to a cobblestone appearance. It is particularly common in children from native communities of the Americas with incidence rates of up to 30% reported."
1793762788,1C13,Tetanus,"A disease of the skeletal muscle fibres, caused by an infection with the gram-positive bacteria Clostridium tetani. This disease is characterised by muscle spasms. Transmission is by direct contact of an open wound."
1133998897,1F68,Hookworm diseases,"A disease caused by an infection with the parasitic worm Ancylostoma. This disease is characterised by pruritus at the site of larval penetration. In mild infections, this disease may be asymptomatic; in moderate to severe infections, this disease may present with cough, pharyngeal irritation during larval migration in airways, iron-deficiency anaemia, abdominal pain, nausea, bloody diarrhoea, fatigue, or delayed development (mental or physical). Transmission is by direct contact with larvae from soil or sand contaminated with dog or cat faeces (by percutaneous migration of larvae), ingestion of larvae, or vertical transmission. Confirmation is by identification of Ancylostoma in a faecal sample."
1873247529,1A62.01,Symptomatic late neurosyphilis,"A diverse constellation of neuropsychiatric signs resulting from prolonged untreated or inadequately treated syphilis. The protean clinical manifestations include chronic, insidious meningeal inflammation with cranial nerve palsy, cognitive and/or behavioural impairment, ataxia, stroke, seizures and visual or auditory impairment."
2080431678,,Infections due to poxvirus,
107634429,1F20.14,Aspergillus bronchitis,
566562143,1F2B,Lobomycosis,"A disease of the skin, caused by an infection with the fungi Lacazia loboi. This disease commonly presents with dermal nodules (either lenticular or in plaques), keloids, subcutaneous mycoses, or malignant tumours. Transmission is commonly by direct contact with contaminated water, soil, vegetation, or may be by direct contact with an infected dolphin. Confirmation is by identification of Lacazia loboi in a lesion exudate or tissue sample."
1196243886,1B12.5,Tuberculosis of the genitourinary system,Tuberculosis involving the urinary tract and/or reproductive organs. The primary site of infection is most commonly the kidney as a result of haematogenous spread from distant sites: infection may then spread further down the urinary tract and/or to the reproductive organs. Genital infection may be sexually transmitted.
1947003329,1F52,Babesiosis,"A disease caused by the protozoan parasite Babesia. This disease is characterised by reproduction and lysis of erythrocytes leading to symptoms that depend on the level of parasitaemia and immune status of the infected individual. This disease may present with fever, chills, malaise, myalgia, haemolytic anaemia, shock, or may be asymptomatic. Transmission is through the bite of an infected tick (Ixodes), or vertical transmission. Confirmation is by identification of Babesia in a blood smear, or detection of antibodies against Babesia."
1805574500,1E90,Varicella,"A disease caused by an infection with varicella zoster virus. This disease is characterised by a vesicular rash and fever. Transmission is by inhalation of infected respiratory secretions, or direct contact with fluid from vesicles."
2058300982,1B40,Acute rheumatic fever without mention of heart involvement,
900389391,1D40,Chikungunya virus disease,
1630119630,1F51.10,Meningitis in Rhodesiense trypanosomiasis,
40419529,1A36.11,Amoebic lung abscess,
874478433,1D85,Viral carditis,"A disease of the heart, caused by an infection with a viral source. This disease is characterised by fatigue, dyspnoea, palpitations, malaise, or atypical chest discomfort. This disease may also present with sinus tachycardia, cardiomyopathy, idiopathic ventricular arrhythmias, or cardiovascular collapse. Transmission is by endogenous spread or iatrogenic transmission. Confirmation is identification of the viral source in advanced imaging or cardiac biopsy."
1005140361,1C32,Rickettsialpox,"An acute febrile disease caused by Rickettsia akari, which is transmitted from its rodent host by the house-mouse mite Liponyssoides sanguineus. An initial skin lesion at the site of a mite bite, often associated with lymphadenopathy, is followed by fever; a disseminated skin rash appears, which generally does not involve the palms and the soles, and lasts only a few days. Death is uncommon."
59040145,1D82.1,Cytomegaloviral pancreatitis,
1688127370,1A40,Gastroenteritis or colitis without specification of infectious agent,
551528014,1A62.20,Ocular late syphilis,"This is a late, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is with ocular."
490238539,1C31.2,Spotted fever due to Rickettsia sibirica,
746680558,1B12,Tuberculosis of other systems and organs,
1806329739,1F23.10,Vulvovaginal candidosis,"A disease caused by an infection with the fungi Candida. This disease is characterised by genital itching, burning, or vaginal discharge. Transmission is by endogenous spread, or sexual contact. Confirmation is commonly by identification of Candida in a vaginal swab."
804089791,1C87,Rocio viral encephalitis,"A disease of the brain, caused by an infection with Rocio virus. In the first phase, this disease is characterised by a fever, headache, vomiting, or conjunctivitis; in the second phase, this disease is characterised by neurological symptoms and muscle weakness. Transmission is through the bite of an infected mosquito. Confirmation is by identification of Rocio virus in a serum or cerebrospinal fluid sample."
1508081745,1C62,Human immunodeficiency virus disease without mention of tuberculosis or malaria,
2132718683,1A60.4,"Other late congenital syphilis, symptomatic",
751399056,1B91,Leptospirosis,"A disease caused by an infection with the gram-negative bacteria Leptospira. In the first phase, this disease is characterised by generalised illness (fever, chills, or myalgias) or individuals may be asymptomatic; in the second phase, the heart, liver, kidneys, or brain may be affected by the infection (symptoms are dependent on the site affected). Transmission is by ingestion of contaminated food or water, droplet transmission, or direct cutaneous contact. Confirmation is by identification of Leptospira in samples from the affected individual."
1517862018,1E50.2,Acute hepatitis C,"Acute liver injury and inflammation caused by recent and short-term (less than 6 months) infection with hepatitis C virus (HCV). Transmission is by blood and body fluid contamination (parenteral spread) in most cases, and rarely by sexual spread or from mother to baby at the time of birth (vertical transmission). Diagnosis is confirmed by presence of recent acquisition of anti-HCV with presence of HCV RNA in serum. Clinical features occur in a minority of cases and are characterised by anorexia, nausea and fever, rarely with jaundice. A high proportion of cases (>70%) develop chronic HCV infection, with liver disease of varying severity."
1961511435,1C30.1,Recrudescent typhus,"This is a form of typhus so named because the disease often causes epidemics following wars and natural disasters. The causative organism is Rickettsia prowazekii, transmitted by the human body louse (Pediculus humanus corporis)."
1311939281,1B10.1,"Respiratory tuberculosis, not confirmed","A disease of the respiratory tract, caused by an infection with the bacteria Mycobacterium tuberculosis, which has not been confirmed. This disease is characterised by a chronic cough, and sputum production that may be haemorrhagic. Transmission is commonly by inhalation of infected respiratory secretions."
270802913,1B71.1,Polymicrobial necrotising fasciitis,
115931335,1F51.1,Rhodesiense trypanosomiasis,"A disease caused by an infection with the protozoan parasite Trypanosoma brucei rhodesiense. This disease is characterised by a chancre at the site of the bite. This disease may also present with fever, headache, muscle and joint aches, or lymphadenopathy. Transmission is through the bite of an infected tsetse fly. Confirmation is by identification of Trypanosoma brucei rhodesiense in a blood sample, lymph node fluid, or biopsy of the chancre."
616315615,1A94,Anogenital herpes simplex infection,"A condition of the anogenital region, caused by an infection with herpes simplex virus type 1 or 2. This condition is characterised by vesicles, or may be asymptomatic. Transmission is by sexual contact. Confirmation is by identification of herpes simplex virus type 1 or 2."
885533022,1F25.01,Chronic pulmonary coccidioidomycosis,A chronic form of pulmonary coccidioimycosis. Pulmonary sequelae occur in approximately 5% of all cases of acute pulmonary coccidioidomycosis
1326352101,1F66.32,Filariasis due to Brugia timori,"This is a parasitic disease (usually an infectious tropical disease) that is caused by thread-like nematodes (roundworms) belonging to the superfamily Filarioidea, also known as ""filariae"". This diagnosis is due to a human filarial parasitic nematode (roundworm) which causes the disease ""Timor filariasis."""
1136802325,,Certain other viral diseases,
132294774,1D04.10,Fungal intracranial granuloma,
1020283662,1D63,Henipavirus encephalitis,"Acute bat-borne disease characterised by fever and headaches. The disease may progress to drowsiness, disorientation, mental confusion, and finally encephalitis (brain swelling) in less than a week. This progression may occur with or without an acute respiratory distress component. The incubation period ranges from 4 to 14 days. Lethality is high."
1332021123,1A72.3,Gonococcal pharyngitis,
1384553803,1B41.10,Rheumatic aortitis,
950300946,1B11.4,Tuberculous granuloma of the meninges,
2098149771,1F23.30,Candida meningitis,
144526718,1A95.1,Genital warts,"Infection of anogenital mucosa or skin by the human papillomavirus. The infection is commonly asymptomatic but manifests typically as flat, papular or pedunculated growths depending on the site of infection. Transmission is by normally by sexual contact."
1670562980,1C19.0,Nonpneumonic Legionnaires' disease,"The non-pneumonic form (Pontiac disease) is an acute, self-limiting influenza-like illness usually lasting 2–5 days. The incubation period is from a few and up to 48 hours. The main symptoms are fever, chills, headache, malaise and muscle pain (myalgia)."
370440252,1A63,"Latent syphilis, unspecified as early or late",A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by serologic proof of infection without symptoms of disease. Transmission is commonly by sexual contact.
875488052,1F51,African trypanosomiasis,A disease caused by an infection with the protozoan parasite Trypanosoma brucei. This disease presents with symptoms depending on the form of the protozoan parasite (Trypanosoma brucei rhodesiense or Trypanosoma brucei gambiense). Transmission is through the bite of an infected tsetse fly. Confirmation is by identification of Trypanosoma brucei in a blood or tissue sample.
547567937,1F2F,Phaeohyphomycosis,
1614775629,1C1G.10,Lyme neuroborreliosis,
882647079,1B21.1,Non-tuberculous mycobacterial lymphadenitis,
183283901,1A62.1,Cardiovascular late syphilis,"This is a late, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is involving the cardiovascular area."
234446094,,Diseases due to trematodes,
282073961,1A60.3,Late congenital neurosyphilis,"Neurological sequelae of longstanding (> 2 years) untreated congenital neurosyphilis include mental delay, hydrocephalus, seizures, cerebral infarction and cranial nerve palsies."
109125699,1D81.0,Mononucleosis due to Epstein-Barr virus,"A disease typically caused by an infection with Epstein-Barr virus. This disease commonly presents with extreme fatigue, fever, acute pharyngitis, body aches, or lymphadenopathy. Transmission is by direct contact with infected body fluids, commonly through saliva."
1683090852,1G41,Sepsis with septic shock,"Septic shock is a subset of sepsis in which circulatory, cellular and metabolic abnormalities are profound enough to substantially increase mortality."
1086416908,1F00.02,Herpes simplex gingivostomatitis,
111175353,1G60.0,Mycetoma of unknown or unspecified type,"Mycetoma is a destructive localised chronic infection of skin, subcutaneous tissue and bone, most commonly affecting the foot. It can be caused by either fungi (eumycetoma) or filamentous bacteria (actinomycetoma). Where possible it should be classified more precisely as either actinomycetoma, the commonest type, or eumycetoma"
965498095,1C1J,Relapsing fever,
918986134,1F80,Clonorchiasis,"A condition caused by an infection with the parasitic worm Clonorchis sinensis. This condition commonly presents with inflammation and obstruction of the biliary ducts. This condition may also present with abdominal pain, nausea, or diarrhoea. Transmission is commonly by ingestion of undercooked fish infected with parasitic cysts. Confirmation is by identification of Clonorchis sinensis eggs in a faecal sample."
622600769,1G40,Sepsis without septic shock,Sepsis is defined as a life-threatening organ dysfunction caused by a dysregulated host response to infection.
1781413652,1G02,External hirudiniasis,Infestation of the skin by leeches. Sensitisation to antigenic substances deposited in the skin can result in urticarial weals and bullae.
1781385141,1D93,Parvovirus infection of unspecified site,
1414602212,1F2D.5,Onychomycosis due to non-dermatophyte mould,"Fungal nail infection due to organisms other than Candida and dermatophytes. These include Scopulariopsis brevicaulis, Neoscytalidium dimidiatum, Fusarium spp., and Aspergillus spp., which may not respond to therapies directed at the more common causes of onychomycosis."
191565955,1A61.0,Primary genital syphilis,A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by a single chancre in the genital region. Transmission is commonly by sexual contact.
510498140,1D60.10,Marburg virus disease,Marburg disease caused by Marburg virus or Ravn virus.
1839818377,1B21,Infections due to non-tuberculous mycobacteria,"Any condition caused by an infection with Mycobacteria excluding infections due to Mycobacterium tuberculosis complex and Mycobacterium leprae. These conditions commonly present with lung disease; however, symptoms are dependent on the site of infection. Transmission is by direct contact with non-tuberculous Mycobacteria in the environment. Confirmation is by identification of non-tuberculous Mycobacteria from the affected site(s)."
295798687,1C30.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,"This is a form of typhus so named because the disease often causes epidemics following wars and natural disasters. The causative organism is Rickettsia prowazekii, transmitted by the human body louse (Pediculus humanus corporis). This diagnosis is due to is a species of gram negative, Alpha Proteobacteria, obligate intracellular parasitic, aerobic bacteria that is the aetiologic agent of epidemic typhus, transmitted in the faeces of lice."
1743601322,1G06,Cimicosis,"Infestation by bedbugs, which are blood-sucking temporary ectoparasites. The most common species to attack humans is Cimex lectularius. In individuals who are not sensitized by previous exposure, there may be no symptoms or signs other than purpuric macules at the sites of bites. Weals, papules or bullae may occur in sensitized individuals."
1419043836,1F57.0,Hepatitis due to Toxoplasma gondii,"A disease of the liver, caused by an infection with the protozoan parasite Toxoplasma gondii. This disease is characterised by jaundice. Transmission is by haematogenous spread to the liver after direct ingestion of contaminated food, or indirect transmission by consumption of food or water contaminated with infected cat faeces. Confirmation is by detection of antibodies against Toxoplasma gondii in a blood sample or identification of Toxoplasma gondii in hepatic tissue."
433310499,1A31,Giardiasis,"A condition caused by an infection with the protozoan parasite Giardia. This condition is characterised by gastroenteritis, or may be asymptomatic. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Giardia in a faecal sample."
257166193,1D61.0,Argentinian haemorrhagic fever,"A disease endemic to the Argentine Pampas that is caused by an infection with Junín virus and that is characterised by haemorrhagic and neurological manifestations and high lethality (10-30%). The disease begins with a 6-14 day-lasting prodromic phase. Argentinian haemorrhagic fever presents with fever, myalgia, erythema, conjunctival injection, non-menstrual uterine bleeding, epistaxis, haematemesis, melena, haematuria, or shock. Around 20-30% of patients advance to a neurological and haemorrhagic phase. Survivors have a long convalescence period. Transmission occurs by inhalation, consumption, or direct contact with excretions and bodily fluids from infected rodents. Diagnosis occurs by identification of Junín virus from blood or mucosal secretions samples."
452367246,1C10.0,Pulmonary actinomycosis,"This is a pulmonary infectious bacterial disease caused by Actinomyces species such as Actinomyces israelii or A. gerencseriae. It can also be caused by Propionibacterium propionicus, and the condition is likely to be polymicrobial aerobic anaerobic infection."
125842620,1F6A.0,Onchocerciasis of the eye,"A disease of the eye, caused by an infection with the parasitic worm Onchocerca volvulus. This disease is characterised by transient punctate keratitis, or potentially blinding conditions (such as sclerosing keratitis, iridocyclitis, or optic atrophy). Transmission is through the bite of an infected Simulium fly. Confirmation is by identification of Onchocerca volvulus from the anterior chamber of the eye."
870345553,1B12.6,Tuberculous peripheral lymphadenopathy,"A disease of the peripheral lymph nodes, caused by an infection with the bacteria Mycobacterium tuberculosis. This disease is characterised by inflammation of the peripheral lymph nodes, typically the cervical lymph nodes. Transmission is through haematogenous spread to the peripheral lymph nodes after inhalation of infected respiratory secretions. Confirmation is by identification of Mycobacterium tuberculosis from lymph node biopsies."
121670633,1D01,Infectious meningitis not elsewhere classified,"A disease of the meninges, caused by an infection."
1727029934,1A36.0,Intestinal infections due to Entamoeba,
86747759,1F20.12,Chronic pulmonary aspergillosis,"Nodular or cavitary lesion or lesions in the lung, of at least three months duration in a non-immunocompromised patient (or one whose immunocompromising condition has remitted or is trivial), caused by Aspergillus spp. as demonstrated on tissue section by staining, by positive culture of a percutaneous biopsy or positive Aspergillus IgG antibodies."
263366843,1F67,Gnathostomiasis,"A disease caused by an infection with the parasitic worm Gnathostoma. This disease is characterised by painful, itchy swelling under the skin from movement of the parasite under the skin. This disease may also initially present with fever, lethargy, abdominal pain, vomiting, or diarrhoea, and may infect other parts of the body (lungs, bladder, eyes, ears, nervous system). Transmission is commonly by ingestion of undercooked contaminated freshwater fish, eels, frogs, birds, or reptiles, or ingestion of contaminated water. Confirmation is commonly by detection of antibodies against Gnathostoma, identification of migratory skin lesions, eosinophilia, and history of potential exposure."
793136270,,Infestations by ectoparasites,Diseases caused by parasitic organisms which normally live on the surface of the host.
840155638,1A72,Gonococcal infection of other sites,
1455433635,1F25.12,Coccidioides meningitis,"An uncommon but often lethal form of coccidioidomycosis due to dissemination of Coccidioides fungi from the primary site of infection, principally the lungs, to the central nervous system."
1934471301,1A62.22,Late syphilis of skin or mucous membranes,"This is a late, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is involving the skin and mucous membranes."
1139567957,1F86.2,Schistosomiasis due to Schistosoma japonicum,"A disease caused by an infection with the parasitic worm Schistosoma japonicum. This disease is characterised by Katayama fever, hepatic perisinusoidal egg granulomas, Symmers’ pipe stem periportal fibrosis, or portal hypertension. This disease may also present with embolic egg granulomas in the brain or spinal cord. Transmission is by direct contact with freshwater that has been contaminated with Schistosoma japonicum eggs or snails that carry Schistosoma japonicum. Confirmation is by identification of the Schistosoma japonicum eggs in a faecal sample."
36782335,1C89,Far Eastern tick-borne encephalitis,
1697630330,1C10,Actinomycosis,"A disease commonly caused by an infection with the gram-positive bacteria Actinomyces. This disease is characterised by painful abscesses in the mouth, lungs, and gastrointestinal tract. Transmission is by endogenous infection. Confirmation is by identification of Actinomyces in infected tissue or fluid samples."
1000704511,,Human immunodeficiency virus disease,"A case of HIV infection is defined as an individual with HIV infection irrespective of clinical stage including severe or stage 4 clinical disease, (also known as AIDS) confirmed by laboratory criteria according to country definitions and requirements."
1435254666,01,Certain infectious or parasitic diseases,"This chapter includes certain conditions caused by pathogenic organisms or microorganisms, such as bacteria, viruses, parasites or fungi."
2059524172,1E91.2,Disseminated zoster,Disseminated herpes zoster indicates the presence of widespread cutaneous involvement extending beyond the primarily affected and directly adjacent dermatomes. It may be associated with impaired immunity resulting from disease or from therapy.
993495155,1C61.2,HIV disease clinical stage 3 associated with malaria,
204002280,1A61.4,Secondary syphilis of other sites,"A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by less common symptoms of syphilis, including hepatitis, kidney disease, arthritis, periostitis, optic neuritis, uveitis, or interstitial keratitis. Transmission is commonly by sexual contact."
1015780375,1A71,Gonococcal pelviperitonitis,"This is an inflammation of the peritoneum, the thin tissue that lines the inner wall of the abdomen and covers most of the abdominal organs."
35402215,1D05.0,Epidural infectious cyst,"A condition of the epidural space, caused by an infection with a bacterial, viral, fungal, or parasitic source. This condition is characterised by a membranous sac that may be filled with gas, fluid, or semi solid material within the epidural space. This condition may present with neurological deficits."
1562906700,1D49,Crimean-Congo haemorrhagic fever,"A disease caused by an infection with Crimean-Congo haemorrhagic fever virus. The incubation period ranges from 2 to 9 days. Symptoms/signs typically include high fever, headache, malaise, arthralgia, myalgia, nausea, abdominal pain, and rarely diarrhoea. Early signs typically include fever, hypotension, conjunctivitis, and cutaneous flushing or a skin rash. Later, patients may develop signs of progressive haemorrhagic diathesis, such as petechiae, mucous membrane and conjunctival haemorrhage, haematuria, hematemesis, and melena. Lethality may reach 30%. Transmission occurs via bites of infected ticks, by direct contact with infected animal blood, or iatrogenic transmission. Laboratory diagnosis of the infection during the acute phase of illness consists of detection of viral nucleic acid or by isolation of the virus or by demonstration of viral antigen by enzyme-linked immunoassay from serum or plasma samples. In samples collected later during the illness, diagnosis is confirmed by demonstration of specific IgG and IgM antibodies."
1352574583,1D60.02,Sudan virus disease,Ebola disease caused by Sudan virus.
107294155,1B50,Scarlet fever,"A disease caused by an infection with the gram-positive bacteria Streptococcus pyogenes. This disease is characterised by a sore throat, fever, and a red rash. Transmission is commonly by inhalation of infected respiratory secretions, direct skin contact, or indirect contact."
1054675109,1D02.1,Viral myelitis,
532698403,1F2D,Non-dermatophyte superficial dermatomycoses,"Any condition of the skin and mucous membranes, caused by an infection with fungi other than Candida and dermatophytes."
17842540,1F62,Ascariasis,"A disease caused by an infection with the parasitic worm Ascaris lumbricoides. This disease presents with symptoms depending on the extent of the infection, ranging from asymptomatic to intestinal blockage. Transmission is by the faecal-oral route from the ingestion of Ascaris eggs in contaminated food or water. Confirmation is by identification of Ascaris eggs in a faecal sample."
1530937152,1C8B,California encephalitis,
444002285,1E74,Buffalopox,Buffalopox is caused by an orthopox virus related to vaccinia virus. It is acquired in humans by direct inoculation from infected water buffalo. It is generally a mild illness similar to cowpox with just a few lesions on the hands and arms. It leaves minor pock-like scars.
1519125035,1A24,Intestinal infections due to Cytomegalovirus,"A condition of the intestinal tract, caused by an infection with cytomegalovirus. The condition is characterised by diarrhoea, fever, abdominal pain, or haematochezia. Transmission is by direct contact with infected body fluids."
1229869827,1F23.2,Candidosis of gastrointestinal tract,
1768378720,1F60,Angiostrongyliasis,"A disease caused by an infection with the parasitic worm Angiostrongylus. This disease commonly presents with fever, headache, stiffness of the neck and back, tingling or painful feelings in the skin, nausea and vomiting, or may be asymptomatic. Transmission is by ingestion of larvae in contaminated food."
342012360,1D02.3,Parasitic myelitis,
114886962,1C45,Toxic shock syndrome,
106136071,1F6A,Onchocerciasis,"Any condition caused by an infection with the parasitic worm Onchocerca volvulus. These conditions are characterised by the presence of firm subcutaneous nodules filled with adult worms, pruritus, long-term corneal inflammation (keratitis), or thickening of the corneal stroma. If untreated, these infections will lead to blindness. Transmission is through the bite of an infected Simulium fly."
1826431497,1F03,Measles,"A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
25801498,1B75.4,Chronic deep bacterial folliculitis,"A chronic pyogenic infection by Staphylococcus aureus involving the whole depth of the hair follicle. Sycosis occurs mostly in males after puberty, and commonly involves the follicles of the beard. Most cases begin in the third or fourth decade. Unknown host factors appear to be important in the chronicity of the infection. Extensive follicular destruction and scarring may ensue (lupoid sycosis)."
1295135613,1F05.2,Enteroviral exanthematous fever,"An acute febrile, characteristically morbilliform exanthem due to infection by one of many different enteroviruses, especially Coxsackievirus and Echovirus."
2033345174,1B70.2,Staphylococcal cellulitis of skin,
1760597414,1G60,Certain other disorders of infectious origin,Miscellaneous disorders of infectious origin not classifiable elsewhere including those due to algae and oomycetes
149072669,1B20,Leprosy,"A disease caused by an infection with Mycobacterium leprae. This disease commonly presents with a long asymptomatic period followed by granulomatous lesions of the skin, respiratory tract, and peripheral nerves. Transmission is commonly by droplet transmission. Confirmation is by identification of Mycobacterium leprae with skin biopsy."
1002985340,1A72.2,Gonococcal infection of anus,This is a species of Gram-negative coffee bean-shaped diplococci bacteria responsible for the sexually transmitted infection gonorrhoea. This diagnosis is of the anus.
1339125651,1F73.1,Echinococcus infection of lung,
1837013982,1A32,Cryptosporidiosis,Any condition caused by an infection with the protozoan parasite Cryptosporidium.
704491122,1C12.1,Whooping cough due to Bordetella parapertussis,"A disease of the upper respiratory tract, caused by an infection of the gram-negative bacteria Bordetella parapertussis. This disease typically presents with a mild clinical presentation of paroxysmal cough, inspiratory whoop, and fainting or vomiting after coughing. Transmission is by inhalation of infected respiratory secretions. Confirmation is by identification of Bordetella parapertussis from nasopharyngeal samples or sputum, or detection of antibodies against Bordetella parapertussis."
1288604967,1D4B,Kyasanur Forest disease,"A disease caused by an infection with Kyasanur Forest disease virus. This disease commonly presents with fever, chills, headache, muscle pain and vomiting, or gastrointestinal symptoms and bleeding. This disease may also present with neurological manifestations such as a severe headache, mental disturbances, tremors, or vision deficits. Transmission is through the bite of an infected tick or by direct contact with an infected animal. Confirmation is by identification of Kyasanur Forest disease virus in a serum sample."
762120574,1A70.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,
1842725899,1F51.00,Meningitis in Gambiense trypanosomiasis,
753780243,1E30,Influenza due to identified seasonal influenza virus,
1008730501,1F05.3,Foot and mouth disease,"A rare infection in humans due to the Aphthovirus Foot-and-mouth-disease virus (FMDV), which is responsible for a highly contagious epidemic infection of cloven-hoofed animals, particularly cattle. It manifests in humans with prodromal fever and malaise followed by vesiculation and ulceration of oral mucous membranes and lips. Vesicles may sometimes involve the digits and palmoplantar skin."
